Name,Format,M,In,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Virat Kohli,Test,92,155,10,7547,254,52.05,13273,56.86,27,7,25,840,22
Virat Kohli,ODI,254,245,39,12169,183,59.07,13061,93.17,43,0,62,1140,126
Virat Kohli,T20I,89,84,24,3159,94,52.65,2272,139.04,0,0,28,285,90
Virat Kohli,IPL,199,191,31,6076,113,37.98,4659,130.41,5,0,40,524,205
Rohit Sharma,Test,39,66,8,2679,212,46.19,4627,57.9,7,1,12,282,59
Rohit Sharma,ODI,227,220,32,9205,264,48.96,10354,88.9,29,3,43,832,244
Rohit Sharma,T20I,111,103,14,2864,118,32.18,2061,138.96,4,0,22,252,133
Rohit Sharma,IPL,207,202,28,5480,109,31.49,4199,130.51,1,0,40,476,224
Shikhar Dhawan,Test,34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12
Shikhar Dhawan,ODI,144,141,8,6092,143,45.8,6498,93.75,17,0,33,760,72
Shikhar Dhawan,T20I,64,63,3,1673,92,27.88,1313,127.42,0,0,11,182,49
Shikhar Dhawan,IPL,184,183,24,5576,106,35.07,4379,127.34,2,0,44,634,116
Shubman Gill,Test,8,15,2,414,91,31.85,741,55.87,0,0,3,54,5
Shubman Gill,ODI,3,3,0,49,33,16.33,71,69.01,0,0,0,5,1
Shubman Gill,IPL,48,45,10,1071,76,30.6,862,124.25,0,0,7,101,29
Shreyas Iyer,ODI,22,20,1,813,103,42.79,810,100.37,1,0,8,81,17
Shreyas Iyer,T20I,28,26,7,550,67,28.95,411,133.82,0,0,3,44,22
Shreyas Iyer,IPL,79,79,9,2200,96,31.43,1745,126.07,0,0,16,189,83
Manish Pandey,ODI,28,23,7,555,104,34.69,606,91.58,1,0,2,45,5
Manish Pandey,T20I,39,33,17,709,79,44.31,562,126.16,0,0,3,49,19
Manish Pandey,IPL,151,140,26,3461,114,30.36,2842,121.78,1,0,20,299,101
Mayank Agarwal,Test,14,23,0,1052,243,45.74,1931,54.48,3,2,4,123,23
Mayank Agarwal,ODI,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1
Mayank Agarwal,IPL,95,90,4,1954,106,22.72,1443,135.41,1,0,9,186,78
Prithvi Shaw,Test,5,9,1,339,134,42.38,394,86.04,1,0,2,48,2
Prithvi Shaw,ODI,5,5,0,140,43,28.0,117,119.66,0,0,0,24,2
Prithvi Shaw,IPL,46,46,0,1134,99,24.65,776,146.13,0,0,9,136,39
Cheteshwar Pujara,Test,86,144,8,6267,206,46.08,14038,44.64,18,3,29,740,14
Cheteshwar Pujara,ODI,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0
Cheteshwar Pujara,IPL,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4
Ajinkya Rahane,Test,74,125,12,4647,188,41.12,9361,49.64,12,0,23,521,32
Ajinkya Rahane,ODI,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33
Ajinkya Rahane,T20I,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6
Ajinkya Rahane,IPL,151,141,16,3941,105,31.53,3248,121.34,2,0,28,417,76
Hardik Pandya,Test,11,18,1,532,108,31.29,720,73.89,1,0,4,68,12
