Name,Format,M,In,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5WH,10WH
Virat Kohli,Test,92,11,175,84,0,0/0,0/0,2.88,0.0,0.0,0,0
Virat Kohli,ODI,254,48,641,665,4,1/15,1/15,6.22,166.25,160.25,0,0
Virat Kohli,T20I,89,12,146,198,4,1/13,1/13,8.14,49.5,36.5,0,0
Virat Kohli,IPL,199,26,251,368,4,2/25,2/25,8.8,92.0,62.75,0,0
Rohit Sharma,Test,39,16,383,224,2,1/26,1/35,3.51,112.0,191.5,0,0
Rohit Sharma,ODI,227,38,593,515,8,2/27,2/27,5.21,64.38,74.12,0,0
Rohit Sharma,T20I,111,9,68,113,1,1/22,1/22,9.97,113.0,68.0,0,0
Rohit Sharma,IPL,207,31,338,449,15,4/6,4/6,7.97,29.93,22.53,0,0
Shikhar Dhawan,Test,34,5,54,18,0,0/0,0/0,2.0,0.0,0.0,0,0
Shikhar Dhawan,ODI,144,-,-,-,-,-,-,-,-,-,-,-
Shikhar Dhawan,T20I,64,-,-,-,-,-,-,-,-,-,-,-
Shikhar Dhawan,IPL,184,6,48,66,4,1/7,1/7,8.25,16.5,12.0,0,0
Shubman Gill,Test,8,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,ODI,3,-,-,-,-,-,-,-,-,-,-,-
Shubman Gill,IPL,48,-,-,-,-,-,-,-,-,-,-,-
Shreyas Iyer,ODI,22,2,12,15,0,0/2,0/2,7.5,0.0,0.0,0,0
Shreyas Iyer,T20I,28,-,-,-,-,-,-,-,-,-,-,-
Shreyas Iyer,IPL,79,-,-,-,-,-,-,-,-,-,-,-
Manish Pandey,ODI,28,-,-,-,-,-,-,-,-,-,-,-
Manish Pandey,T20I,39,-,-,-,-,-,-,-,-,-,-,-
Manish Pandey,IPL,151,-,-,-,-,-,-,-,-,-,-,-
Mayank Agarwal,Test,14,-,-,-,-,-,-,-,-,-,-,-
Mayank Agarwal,ODI,5,1,6,10,0,0/10,0/10,10.0,0.0,0.0,0,0
Mayank Agarwal,IPL,95,-,-,-,-,-,-,-,-,-,-,-
Prithvi Shaw,Test,5,-,-,-,-,-,-,-,-,-,-,-
Prithvi Shaw,ODI,5,-,-,-,-,-,-,-,-,-,-,-
Prithvi Shaw,IPL,46,-,-,-,-,-,-,-,-,-,-,-
Cheteshwar Pujara,Test,86,1,6,2,0,0/2,0/2,2.0,0.0,0.0,0,0
Cheteshwar Pujara,ODI,5,-,-,-,-,-,-,-,-,-,-,-
Cheteshwar Pujara,IPL,30,-,-,-,-,-,-,-,-,-,-,-
Ajinkya Rahane,Test,74,-,-,-,-,-,-,-,-,-,-,-
Ajinkya Rahane,ODI,90,-,-,-,-,-,-,-,-,-,-,-
Ajinkya Rahane,T20I,20,-,-,-,-,-,-,-,-,-,-,-
Ajinkya Rahane,IPL,151,1,6,5,1,1/5,1/5,5.0,5.0,6.0,0,0
Hardik Pandya,Test,11,19,937,528,17,5/28,6/50,3.38,31.06,55.12,1,0
Hardik Pandya,ODI,62,57,2500,2321,56,3/31,3/31,5.57,41.45,44.64,0,0
Hardik Pandya,T20I,48,44,803,1094,41,4/38,4/38,8.17,26.68,19.59,0,0
Hardik Pandya,IPL,87,60,869,1313,42,3/20,3/20,9.07,31.26,20.69,0,0
Hanuma Vihari,Test,12,10,345,180,5,3/37,3/38,3.13,36.0,69.0,0,0
Hanuma Vihari,IPL,24,6,42,47,1,1/5,1/5,6.71,47.0,42.0,0,0
Ravindra Jadeja,Test,52,99,13229,5396,221,7/48,10/154,2.45,24.42,59.86,9,1
Ravindra Jadeja,ODI,168,164,8557,7024,188,5/36,5/36,4.93,37.36,45.52,1,0
