Name,Country,Born,Birth Place,Height,Role,Batting Style,Bowling Style,Career Info
Virat Kohli,India," Nov 05, 1988 (32 years) ", Delhi , 5 ft 9 in (175 cm) , Batsman , Right Handed Bat , Right-arm medium ," India, Delhi, India Red, India U19, Royal Challengers Bangalore, Board Presidents XI, North Zone, Indians, India A, Asia XI "
Rohit Sharma,India," Apr 30, 1987 (34 years) "," Nagpur, Maharashtra ", -- , Batsman , Right Handed Bat , Right-arm offbreak ," India, Deccan Chargers, India A, India Green, India U19, Mumbai, Mumbai Indians, Indians, India Blue, Board Presidents XI "
Shikhar Dhawan,India," Dec 05, 1985 (35 years) ", Delhi , -- , Batsman , Left Handed Bat , Right-arm offbreak ," Board Presidents XI, Mumbai Indians, India, Deccan Chargers, India Red, India A, Rest of India, North Zone, Mumbai A, Delhi, Sunrisers Hyderabad, Indians, Delhi Capitals, India B, Asia XI "
Shubman Gill,India," Sep 08, 1999 (21 years) "," Firozpur, Punjab ", -- , Batsman , Right Handed Bat , Right-arm offbreak ," Punjab, India U19, India U23, India A, Kolkata Knight Riders, India B, India, India C, India Blue "
Shreyas Iyer,India," Dec 06, 1994 (26 years) ", Mumbai , -- , Batsman , Right Handed Bat , Right-arm legbreak ," India, India U19, West Zone, Mumbai, Delhi Capitals, India A, Indian Board Presidents XI, India B, Mumbai Cricket Association XI, India Blue, India Green, Board Presidents XI, Rest of India, NaMo Bandra Blasters "
Manish Pandey,India," Sep 10, 1989 (31 years) "," Nainital, Uttaranchal ", -- , Batsman , Right Handed Bat , Right-arm medium ," Karnataka, Board Presidents XI, Royal Challengers Bangalore, Pune Warriors, India Blue, India A, South Zone, Kolkata Knight Riders, India, Mumbai Indians, Mysuru Warriors, India AT20, India Red, India B, Belagavi Panthers, Sunrisers Hyderabad "
Mayank Agarwal,India," Feb 16, 1991 (30 years) "," Bangalore, Karnataka ", -- , Batsman , Right Handed Bat ,---," Davangere Diamonds, Royal Challengers Bangalore, Karnataka, Delhi Capitals, South Zone, India A, Belagavi Panthers, India AT20, India, India B, India Blue, Rising Pune Supergiant, India Red, Hubli Tigers, Indian Board Presidents XI, Punjab Kings, Rest of India, Board Presidents XI, India C, Indians "
Prithvi Shaw,India," Nov 09, 1999 (21 years) "," Thane, Maharashtra ", -- , Batsman , Right Handed Bat , Right-arm offbreak ," India U19, Mumbai, India U23, India Red, India A, Indian Board Presidents XI, Delhi Capitals, Rest of India, India, Board Presidents XI, North Mumbai Panthers "
Cheteshwar Pujara,India," Jan 25, 1988 (33 years) "," Rajkot, Gujarat ", -- , Batsman , Right Handed Bat , Right-arm legbreak ," Board Presidents XI, Kolkata Knight Riders, India, Royal Challengers Bangalore, India A, Rest of India, India B, West Zone, Mumbai A, Saurashtra, Indians, Punjab Kings, Derbyshire, Yorkshire, Indian Board Presidents XI, India Blue, Nottinghamshire, Zalawad Royals, Chennai Super Kings "
Ajinkya Rahane,India," Jun 06, 1988 (33 years) "," Ashwi-KD, Maharashtra ", -- , Batsman , Right Handed Bat , Right-arm medium ," Mumbai, Board Presidents XI, Rajasthan Royals, India, India A, Rest of India, West Zone, Indians, Mumbai Indians, Rising Pune Supergiant, India C, Hampshire, Delhi Capitals "
